complaint_id,complaint_text,approx_location,date_reported,category_tag
C-4741,Water ATM card reader not accepting payment at riverside walk. Machine beeps but does not dispense water.,Ward 4,2026-07-11,water
C-4742,Multiple lights out on college road stretch. At least 3 streetlights not working. Area very dark at night.,Ward 6,2026-08-23,lighting
C-4743,No clean drinking water available near hospital road area. Water ATM has been showing error for weeks.,Ward 6,2026-07-29,water
C-4744,Charging station screen is completely blank at market crossing. No response when vehicle is plugged in.,Ward 6,2026-08-10,ev_charging
C-4745,Rainwater system at sports complex makes strange gurgling noise. Water not being collected properly.,Ward 5,2026-07-17,infrastructure
C-4746,All streetlights on mill compound road are dead. Complete darkness after sunset. Very unsafe area.,Ward 5,2026-08-25,lighting
C-4747,Water vending machine near shopping complex is leaking badly. Water pooling on the ground around it.,Ward 7,2026-07-21,water
C-4748,EV charger cable at waterfront is damaged and wires are exposed. Serious safety hazard. Please repair urgently.,Ward 3,2026-08-15,ev_charging
C-4749,Solar light at garden road area works intermittently. Turns on and off randomly throughout the night.,Ward 8,2026-07-26,lighting
C-4750,Need more EV charging points in residential block area. Current demand exceeds available infrastructure.,Ward 9,2026-08-02,ev_charging
C-4751,Water ATM near shopping complex always has a long queue. Sometimes machine runs out of water by afternoon.,Ward 7,2026-07-09,water
C-4752,Broken solar panel visible on industrial area streetlight. Panel glass shattered and light completely non-functional.,Ward 10,2026-08-20,lighting
C-4753,Government office area rainwater harvesting system seems abandoned. No maintenance done since installation.,Ward 1,2026-08-25,infrastructure
